Item,Price
Moong chilka 4lb,7.99
Peanuts 4lb,7.99
green vatana 2lb,3.49
yellow vatana 2lb,3.49
Sabudana 2lb,5.99
Roasted daila 2lb,6.99
Nuterla soya 220gms,2.99
Corn flour 4lb,5.99
Rice flour 2lb,3.99
Maida 4lb,5.99
Besan 2lb,4.99
Idli Rava 2lb,4.99
Ragi flour 2lb,4.99
halal Goat,9.39
Halal Chicken Leg Quarters,2.99
Halal Whole Chicken,4.29
Chicken 65 biryani,14.29
Chicken 555 biryani,14.29
Mutton Ghee Roast biryani,15.29
Veg Paneer biryani,14.29
Chicken Mandi Family,40
Chicken Mandi Half tray,75
Chicken Mandi Full tray,135
Mutton Mandi Family,50
Mutton Mandi Half tray,95
Mutton Mandi Full tray,180
